Afghanistan 	 	* 	 	 	 	0 1 1 1 0 0 0 0 0 0 0 0 - - - - - - - - - - - -
Albania 	* 	 	 	 	 	0 1 0 1 0 0 0 0 0 0 0 1 0 0 - - - - - - - - - -
Algeria 	 	 	* 	 	 	0 0 0 0 1 0 1 0 0 - - - - - - - - - - - - - - -
Angola 	 	* 	 	 	 	0 0 0 0 1 0 0 1 0 0 0 0 - - - - - - - - - - - -
Antigua and Barbuda 	* 	 	 	 	 	0 0 0 0 1 1 0 0 1 0 1 0 0 0 - - - - - - - - - -
Argentina 	 	 	 	* 	 	1 1 1 0 0 0 - - - - - - - - - - - - - - - - - -
Armenia 	* 	 	 	 	 	0 1 1 0 0 0 0 0 0 0 0 0 0 0 - - - - - - - - - -
Australia 	 	 	 	* 	 	0 1 1 1 1 1 - - - - - - - - - - - - - - - - - -
Austria 	 	 	* 	 	 	0 1 0 0 0 1 0 0 0 - - - - - - - - - - - - - - -
Azerbaijan 	* 	 	 	 	 	0 1 1 0 0 0 0 0 0 0 0 0 1 0 - - - - - - - - - -
Bahamas 	 	* 	 	 	 	0 0 0 0 1 0 1 0 1 0 0 0 - - - - - - - - - - - -
Bahrain 	 	* 	 	 	 	1 0 0 0 1 0 0 1 0 1 0 0 - - - - - - - - - - - -
Bangladesh 	 	* 	 	 	 	0 1 1 1 0 0 0 0 0 0 1 0 - - - - - - - - - - - -
Barbados 	* 	 	 	 	 	0 0 0 0 1 0 1 0 1 0 1 0 0 0 - - - - - - - - - -
Belarus 	* 	 	 	 	 	0 1 0 1 0 0 0 1 0 0 0 0 0 0 - - - - - - - - - -
Belgium 	 	 	* 	 	 	0 1 0 0 0 1 0 0 1 - - - - - - - - - - - - - - -
Belize 	* 	 	 	 	 	0 0 0 0 1 0 1 0 1 0 1 1 0 0 - - - - - - - - - -
Benin 	* 	 	 	 	 	0 0 0 0 1 0 0 1 0 1 0 0 0 0 - - - - - - - - - -
Bhutan 	* 	 	 	 	 	0 1 1 0 1 0 0 0 0 0 0 0 0 0 - - - - - - - - - -
Bolivia 	 	* 	 	 	 	1 1 1 0 1 0 0 1 0 1 0 0 - - - - - - - - - - - -
Bosnia and Herzegovina 	* 	 	 	 	 	0 1 0 1 0 0 0 1 0 0 1 1 0 0 - - - - - - - - - -
Botswana 	* 	 	 	 	 	0 0 0 0 0 0 1 1 0 0 0 0 0 0 - - - - - - - - - -
Brazil 	 	 	 	* 	 	1 1 1 0 0 1 - - - - - - - - - - - - - - - - - -
Brunei Darussalam 	* 	 	 	 	 	1 0 0 0 1 0 0 1 0 1 0 1 0 0 - - - - - - - - - -
Bulgaria 	 	 	* 	 	 	0 1 0 0 0 1 0 1 0 - - - - - - - - - - - - - - -
Burkina Faso 	 	* 	 	 	 	0 0 0 0 1 0 0 1 1 1 0 0 - - - - - - - - - - - -
Burundi 	 	* 	 	 	 	0 0 0 0 0 0 1 1 0 0 1 0 - - - - - - - - - - - -
Cambodia 	 	* 	 	 	 	0 1 1 1 0 0 0 0 1 1 1 0 - - - - - - - - - - - -
Cameroon 	 	* 	 	 	 	0 0 0 0 0 0 1 1 0 1 0 0 - - - - - - - - - - - -
Canada 	 	 	 	* 	 	1 1 0 0 0 0 - - - - - - - - - - - - - - - - - -
Cape Verde 	* 	 	 	 	 	0 0 0 0 1 0 0 1 0 1 1 0 0 0 - - - - - - - - - -
Central African Republic 	 	* 	 	 	 	0 0 0 0 0 1 1 0 1 1 0 0 - - - - - - - - - - - -
Chad 	 	* 	 	 	 	0 0 0 0 1 0 0 0 0 1 0 0 - - - - - - - - - - - -
Chile 	 	* 	 	 	 	1 1 1 0 1 0 0 0 0 0 0 0 - - - - - - - - - - - -
China 	 	 	 	* 	 	0 1 1 1 1 0 - - - - - - - - - - - - - - - - - -
Colombia 	 	* 	 	 	 	0 0 0 0 1 0 1 0 1 1 0 0 - - - - - - - - - - - -
Comoros 	* 	 	 	 	 	0 0 0 0 0 0 1 1 0 1 0 1 0 0 - - - - - - - - - -
Congo 	 	* 	 	 	 	0 0 0 0 0 0 1 1 0 1 1 0 - - - - - - - - - - - -
Cook Islands 	* 	 	 	 	 	1 0 0 1 0 0 0 0 0 0 0 1 0 0 - - - - - - - - - -
Costa Rica 	 	* 	 	 	 	0 0 0 0 1 0 1 0 1 1 1 0 - - - - - - - - - - - -
Côte d Ivoire 	 	* 	 	 	 	0 0 0 0 0 0 1 1 1 0 0 0 - - - - - - - - - - - -
Croatia 	* 	 	 	 	 	0 1 0 1 0 0 0 0 0 0 0 1 1 1 - - - - - - - - - -
Cuba 	 	* 	 	 	 	0 0 0 0 1 0 1 1 0 0 0 0 - - - - - - - - - - - -
Cyprus 	* 	 	 	 	 	0 1 0 0 1 1 0 0 1 0 0 0 0 0 - - - - - - - - - -
Czech Republic 	 	 	* 	 	 	0 1 0 0 1 0 0 1 1 - - - - - - - - - - - - - - -
Democratic People's Republic of Korea 	 	 	* 	 	 	0 1 1 1 0 0 1 0 0 - - - - - - - - - - - - - - -
Democratic Republic of the Congo 	 	* 	 	 	 	0 0 0 0 1 0 0 0 1 1 0 0 - - - - - - - - - - - -
Denmark 	 	 	* 	 	 	0 1 0 0 0 1 0 1 1 - - - - - - - - - - - - - - -
Djibouti 	* 	 	 	 	 	0 0 0 0 1 0 0 1 1 0 0 0 0 0 - - - - - - - - - -
Dominican Republic 	 	* 	 	 	 	0 0 0 0 1 1 0 0 0 1 0 0 - - - - - - - - - - - -
Ecuador 	 	* 	 	 	 	1 1 1 0 1 0 0 0 0 1 0 0 - - - - - - - - - - - -
Egypt 	 	 	* 	 	 	0 0 0 0 0 0 0 1 0 - - - - - - - - - - - - - - -
El Salvador 	 	* 	 	 	 	0 0 0 0 1 0 1 1 0 0 1 0 - - - - - - - - - - - -
Equatorial Guinea 	 	* 	 	 	 	0 0 0 0 0 1 0 0 0 0 1 0 - - - - - - - - - - - -
Eritrea 	* 	 	 	 	 	0 0 1 0 0 0 0 0 0 0 1 0 0 0 - - - - - - - - - -
Estonia 	* 	 	 	 	 	0 1 0 1 0 0 0 1 0 0 0 1 0 0 - - - - - - - - - -
