adsbScope-WatchLog    2019/04/16
    Watch     Time      AA   Flight    Alt        Lat       Long  Speed  Head  Vario       Reg      Type
--     1  21:18:04  100000               0    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  21:18:11  100000               0    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  21:18:17  100000               0    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  21:18:24  100000               0    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  21:18:30  100000               0    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  21:18:37  100000            7075    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  21:18:43  100000            7075    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  21:18:50  100000            7075    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  21:18:56  100000            7075    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  21:19:03  100000            7075    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  21:19:10  100000            7075    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  21:19:16  100000            7075    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  21:19:23  100000            7075    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  21:19:29  100000            7075    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  21:19:36  100000            7075    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  21:19:42  100000            7075    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  21:19:49  100000            7075    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
<<     1  21:19:55  100000
