adsbScope-WatchLog    2019/10/29
    Watch     Time      AA   Flight    Alt        Lat       Long  Speed  Head  Vario       Reg      Type
--     1  08:35:59  100000            6075    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  08:36:06  100000            6075    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  08:36:12  100000            6075    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  08:36:19  100000            6075    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  08:36:26  100000            6075    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  08:36:32  100000            6075    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  08:36:39  100000            6075    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  08:36:45  100000            6075    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  08:36:52  100000            6075    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  08:36:58  100000            6075    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
<<     1  08:37:05  100000
--     1  13:33:13  100000            7275    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  13:33:20  100000            7275    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  13:33:26  100000            7275    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  13:33:33  100000            7200    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  13:33:39  100000            7200    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  13:33:46  100000            7200    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  13:33:52  100000            7200    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  13:33:59  100000            7300    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  13:34:05  100000            7300    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  13:34:12  100000            7300    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  13:34:18  100000            7300    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  13:34:25  100000            7275    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  13:34:31  100000  ZUWMM     7275    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  13:34:38  100000  ZUWMM     7250    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  13:34:44  100000  ZUWMM     7250    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  13:34:51  100000  ZUWMM     7225    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  13:34:58  100000  ZUWMM     7200    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  13:35:04  100000  ZUWMM     7175    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  13:35:11  100000  ZUWMM     7175    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  13:35:17  100000  ZUWMM     7225    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  13:35:24  100000  ZUWMM     7250    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  13:35:30  100000  ZUWMM     7250    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  13:35:37  100000  ZUWMM     7250    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  13:35:44  100000  ZUWMM     7250    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  13:35:50  100000  ZUWMM     7250    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  13:35:57  100000  ZUWMM     7225    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  13:36:03  100000  ZUWMM     7250    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  13:36:10  100000  ZUWMM     7225    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  13:36:16  100000  ZUWMM     7250    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  13:36:23  100000  ZUWMM     7250    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  13:36:29  100000  ZUWMM     7275    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  13:36:36  100000  ZUWMM     7275    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
