#adsbScope-landnamefile 
0 0 
455 5062 ALGERIA
3186 63316 ANGOLA
403 1901 BENIN
4096 61495 BOTSWANA
65336 2294 BURKINA_FASO
5391 64941 BURUNDI
2395 1194 CAMEROON
61239 2736 CAPE_VERDE
3632 908 CENTRAL_AFRICAN_REP
3236 3242 CHAD
8081 63313 COMOROS
2857 65169 CONGO
7754 2170 DJIBOUTI
5653 5141 EGYPT
1911 314 EQUATORIAL_GUINEA
7016 1912 ETHIOPIA
2156 65228 GABON
62598 2456 GAMBIA
65277 1421 GHANA
62804 2112 GUINEA-BISSAU
63492 1820 GUINEA
64345 1421 IVORY_COAST
7780 62430 JUAN
6902 474 KENYA
5159 60167 LESOTHO
63911 1112 LIBERIA
3186 5062 LIBYA
8599 62405 MADAGASCAR
6246 62982 MALAWI
64741 2789 MALI
63439 3925 MAURITANIA
10484 61854 MAURITIUS
8220 63204 MAYOTTE
64546 5653 MOROCCO
6725 62423 MOZAMBIQUE
3186 61495 NAMIBIA
1365 3242 NIGER
1365 2041 NIGERIA
10104 61697 REUNION
5458 65201 RWANDA
1204 45 SAO
62875 2632 SENEGAL
10097 64685 SEYCHELLES
63376 1575 SIERRA_LEONE
8574 906 SOMALIA
4948 59750 SOUTH_AFRICA
64496 62631 ST._HELENA
6052 2279 SUDAN
5727 60725 SWAZILAND
5946 64226 TANZANIA
215 1510 TOGO
9925 62643 TROMELIN_ISLAND
1746 6360 TUNISIA
5949 238 UGANDA
63209 4734 WESTERN_SAHARA
4381 64894 ZAIRE
4931 63088 ZAMBIA
5077 62143 ZIMBABWE
