#adsbScope-landnamefile 
0 0 
49739 5990 ALABAMA
45082 6079 ARIZONA
48656 6213 ARKANSAS
51494 4814 BAHAMAS
53744 5881 BERMUDA
43804 6700 CALIFORNIA
46321 7082 COLORADO
52308 7577 CONNECTICUT
51791 7078 DELAWARE
50673 5170 FLORIDA
50379 6001 GEORGIA
37227 3582 HAWAII
44781 7988 IDAHO
49279 7536 ILLINOIS
49757 7110 INDIANA
48678 7670 IOWA
47795 7051 KANSAS
50223 6804 KENTUCKY
48678 5771 LOUISIANA
52992 8331 MAINE
51543 7090 MARYLAND
52385 7691 MASSACHUSETTS
49859 8304 MICHIGAN
33245 5136 MIDWAY_ISLANDS
48603 8638 MINNESOTA
49301 5986 MISSISSIPPI
48698 6984 MISSOURI
45468 8191 MONTANA
47315 7594 NEBRASKA
44380 6891 NEVADA
52487 7919 NEW_HAMPSHIRE
51877 7284 NEW_JERSEY
46053 6079 NEW_MEXICO
51323 7897 NEW_YORK
51078 6572 NORTH_CAROLINA
46962 8675 NORTH_DAKOTA
50480 7379 OHIO
47833 6476 OKLAHOMA
43569 8090 OREGON
51427 7514 PENNSYLVANIA
52504 7593 RHODE_ISLAND
50769 6133 SOUTH_CAROLINA
47284 7952 SOUTH_DAKOTA
49567 6541 TENNESSEE
47786 5931 TEXAS
45256 7071 UTAH
52291 8013 VERMONT
51227 6817 VIRGINIA
43332 8488 WASHINGTON
50883 7072 WEST_VIRGINIA
49033 7993 WISCONSIN
45966 7873 WYOMING
